Species,Parity
Teratolepis_fasciata,1
Hemidactylus_albofasciatus,1
Hemidactylus_gracilis,1
Hemidactylus_reticulatus,1
Hemidactylus_haitianus,1
Hemidactylus_angulatus,1
Hemidactylus_mercatorius,1
Hemidactylus_mabouia,1
Hemidactylus_platycephalus,1
Hemidactylus_longicephalus,1
Hemidactylus_brasilianus,1
Hemidactylus_greefii,1
Hemidactylus_bouvieri,1
Hemidactylus_agrius,1
Hemidactylus_palaichthus,1
Hemidactylus_modestus,1
Hemidactylus_foudaii,1
Hemidactylus_citernii,1
Hemidactylus_pumilio,1
Hemidactylus_granti,1
Hemidactylus_dracaenacolus,1
Hemidactylus_persicus,1
Hemidactylus_robustus,1
Hemidactylus_yerburyi,1
Hemidactylus_turcicus,1
Hemidactylus_mindiae,1
Hemidactylus_lemurinus,1
Hemidactylus_macropholis,1
Hemidactylus_oxyrhinus,1
Hemidactylus_homoeolepis,1
Hemidactylus_forbesii,1
Perochirus_ateles,1
Urocotyledon_inexpectata,1
Ebenavia_inunguis,1
Paroedura_masobe,1
Paroedura_gracilis,1
Paroedura_homalorhina,1
Paroedura_karstophila,1
Paroedura_oviceps,1
Paroedura_lohatsara,1
Paroedura_sanctijohannis,1
Paroedura_stumpffi,1
Paroedura_androyensis,1
Paroedura_picta,1
Paroedura_vazimba,1
Paroedura_bastardi,1
Paroedura_tanjaka,1
Ailuronyx_tachyscopaeus,1
Ailuronyx_trachygaster,1
Ailuronyx_seychellensis,1
Calodactylodes_aureus,1
Calodactylodes_illingworthorum,1
Narudasia_festiva,1
Ptenopus_carpi,1
Cnemaspis_uzungwae,1
Cnemaspis_africana,1
Cnemaspis_dickersoni,1
Uroplatus_malahelo,1
Uroplatus_guentheri,1
Uroplatus_malama,1
Uroplatus_phantasticus,1
Uroplatus_ebenaui,1
Uroplatus_pietschmanni,1
Uroplatus_alluaudi,1
Uroplatus_lineatus,1
Uroplatus_fimbriatus,1
Uroplatus_giganteus,1
Uroplatus_henkeli,1
Uroplatus_sikorae,1
Paragehyra_gabriellae,1
Matoatoa_brevipes,1
Afroedura_pondolia,1
Afrogecko_porphyreus,1
Christinus_marmoratus,1
Cryptactites_peringueyi,1
Afrogecko_swartbergensis,1
Afroedura_karroica,1
Geckolepis_maculata,1
Geckolepis_typica,1
Blaesodactylus_boivini,1
Blaesodactylus_sakalava,1
Blaesodactylus_antongilensis,1
Homopholis_fasciata,1
Homopholis_mulleri,1
Homopholis_walbergii,1
Goggia_lineata,1
Rhoptropus_bradfieldi,1
Rhoptropus_afer,1
Rhoptropus_boultoni,1
Rhoptropus_barnardi,1
Rhoptropus_biporosus,1
Elasmodactylus_tuberculosus,1
Elasmodactylus_tetensis,1
Chondrodactylus_angulifer,1
Chondrodactylus_bibronii,1
Chondrodactylus_fitzsimonsi,1
Chondrodactylus_turneri,1
Pachydactylus_laevigatus,1
Pachydactylus_robertsi,1
Colopus_kochii,1
Colopus_wahlbergii,1
Pachydactylus_haackei,1
Pachydactylus_namaquensis,1
Pachydactylus_kladaroderma,1
Pachydactylus_caraculicus,1
Pachydactylus_bicolor,1
Pachydactylus_sansteynae,1
Pachydactylus_punctatus,1
Pachydactylus_scherzi,1
Pachydactylus_parascutatus,1
Pachydactylus_scutatus,1
Pachydactylus_reconditus,1
Pachydactylus_oreophilus,1
Pachydactylus_gaiasensis,1
Pachydactylus_rugosus,1
Pachydactylus_barnardi,1
Pachydactylus_formosus,1
Pachydactylus_labialis,1
Pachydactylus_geitje,1
Pachydactylus_oculatus,1
Pachydactylus_maculatus,1
Pachydactylus_mariquensis,1
Pachydactylus_austeni,1
Pachydactylus_vanzyli,1
Pachydactylus_rangei,1
Pachydactylus_montanus,1
Pachydactylus_oshaughnessyi,1
Pachydactylus_tigrinus,1
Pachydactylus_capensis,1
Pachydactylus_affinis,1
Pachydactylus_vansoni,1
Pachydactylus_purcelli,1
Pachydactylus_waterbergensis,1
Pachydactylus_fasciatus,1
Pachydactylus_tsodiloensis,1
Pachydactylus_weberi,1
Pachydactylus_mclachlani,1
Pachydactylus_monicae,1
Pachydactylus_carinatus,1
Pachydactylus_serval,1
Pachydactylus_griffini,1
Cnemaspis_podihuna,1
Cnemaspis_tropidogaster,1
Cnemaspis_kandiana,1
Phelsuma_ocellata,1
Lygodactylus_expectatus,1
Lygodactylus_rarus,1
Lygodactylus_madagascariensis,1
Lygodactylus_guibei,1
Lygodactylus_miops,1
Lygodactylus_tolampyae,1
Lygodactylus_verticillatus,1
Lygodactylus_heterurus,1
Lygodactylus_blancae,1
Lygodactylus_pauliani,1
Lygodactylus_arnoulti,1
Lygodactylus_gravis,1
Lygodactylus_lawrencei,1
Lygodactylus_stevensoni,1
Lygodactylus_bradfieldi,1
Lygodactylus_capensis,1
Lygodactylus_montanus,1
Lygodactylus_tuberosus,1
Lygodactylus_pictus,1
Lygodactylus_mirabilis,1
Lygodactylus_klugei,1
Lygodactylus_thomensis,1
Lygodactylus_conraui,1
Lygodactylus_angularis,1
Lygodactylus_gutturalis,1
Lygodactylus_chobiensis,1
Lygodactylus_williamsi,1
Lygodactylus_keniensis,1
Lygodactylus_kimhowelli,1
Lygodactylus_luteopicturatus,1
Lygodactylus_picturatus,1
Phelsuma_vanheygeni,1
Phelsuma_sundbergi,1
Phelsuma_astriata,1
Phelsuma_guttata,1
Phelsuma_madagascariensis,1
Phelsuma_abbotti,1
Phelsuma_seippi,1
Phelsuma_parkeri,1
Phelsuma_pronki,1
Phelsuma_barbouri,1
Phelsuma_mutabilis,1
Phelsuma_breviceps,1
Phelsuma_standingi,1
Phelsuma_andamanense,1
Phelsuma_gigas,1
Phelsuma_edwardnewtoni,1
Phelsuma_guentheri,1
Phelsuma_cepediana,1
Phelsuma_borbonica,1
Phelsuma_guimbeaui,1
Phelsuma_inexpectata,1
Phelsuma_ornata,1
Phelsuma_modesta,1
Phelsuma_nigristriata,1
Phelsuma_ravenala,1
Phelsuma_dubia,1
Phelsuma_flavigularis,1
Phelsuma_hielscheri,1
Phelsuma_malamakibo,1
Phelsuma_berghofi,1
Phelsuma_serraticauda,1
Phelsuma_robertmertensi,1
Phelsuma_laticauda,1
Phelsuma_klemmeri,1
Phelsuma_quadriocellata,1
Phelsuma_antanosy,1
Phelsuma_pusilla,1
Phelsuma_comorensis,1
Phelsuma_kely,1
Phelsuma_lineata,1
Cricosaura_typica,2
Xantusia_henshawi,2
Xantusia_gracilis,2
Xantusia_sanchezi,2
Xantusia_bolsonae,2
Xantusia_riversiana,2
Xantusia_wigginsi,2
Xantusia_bezyi,2
Xantusia_vigilis,2
Xantusia_arizonae,2
Lepidophyma_mayae,2
Lepidophyma_tuxtlae,2
Lepidophyma_lipetzi,2
Lepidophyma_reticulatum,2
Lepidophyma_flavimaculatum,2
Lepidophyma_pajapanensis,2
Lepidophyma_occulor,2
Lepidophyma_sylvaticum,2
Lepidophyma_micropholis,2
Lepidophyma_gaigeae,2
Lepidophyma_smithii,2
Lepidophyma_lineri,2
Lepidophyma_cuicateca,2
Lepidophyma_lowei,2
Lepidophyma_dontomasi,2
Lepidophyma_radula,2
Gerrhosaurus_major,1
Cordylosaurus_subtessellatus,1
Tetradactylus_seps,1
Tetradactylus_tetradactylus,1
